Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,PinHeader_1x02_P1.27mm_Vertical,1,Buzzer,
"C1, C4, C6, C7",0402,4,4.7u,
"C10, C11, C12, C14, C15, C16, C17, C5, C8",0402,9,100n,
"C13, C9",0805,2,1u,
"C2, C3",0402,2,15p,
D1,LED_D3.0mm,1,LED,
"H1, H2",MountingHole_2.1mm,2,MountingHole,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
L1,L_pol_2016,1,3.3u,
"R1, R3, R4",0402,3,1k,
R2,0402,1,33,
"R5, R7, R8",0402,3,10k,
R6,0402,1,220,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
SW3,rot_encode,1,RotaryEncoder_Switch,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
U3,DL2416,1,~,
U4,SOT-23-5,1,AP2112K-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
Y2,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-xxxMHz,
